job,alpha,nG,nE,n,replicate,nComb,nPosEigen,time_eigen,Frobenius_eigen,CMD_eigen,nPC_eigen,pPC_eigen,time_tensorEVD,Frobenius_tensorEVD,CMD_tensorEVD,nPC_tensorEVD,pPC_tensorEVD
1,0.9,100,10,10000,1,1000,1000,255.96,148.867639590264,0.00361194318799984,404,0.404,0.16500000000002,146.745058814481,0.00326813067795817,419,0.419
2,0.9,500,10,10000,1,4314,4314,170.438,193.14395944215,0.00400201967262981,936,0.216968011126565,0.282999999999987,184.939129100403,0.00310622375796221,1096,0.254056560037089
3,0.9,1000,10,10000,1,6290,6290,171.677,148.134710095965,0.00280731431435965,1417,0.225278219395866,0.77200000000002,136.883971232419,0.00184396275699905,1881,0.299046104928458
4,0.9,100,30,10000,1,2904,2904,166.713,122.974453515863,0.00334874022858966,780,0.268595041322314,0.248000000000019,119.039872057876,0.00276068740080349,853,0.293732782369146
5,0.9,500,30,10000,1,7295,7295,178.486,118.371223371483,0.00348109744046721,1895,0.259766963673749,0.911000000000001,100.729548916586,0.00187990802197713,2749,0.376833447566827
6,0.9,1000,30,10000,1,8509,8509,185.491,128.333564291342,0.00302416025019148,2160,0.253848865906687,2.05600000000001,102.680414346662,0.00142937128237364,3779,0.444117992713597
7,0.9,100,50,10000,1,4296,4296,181.817,116.153739812817,0.00326637679193464,948,0.220670391061453,0.260999999999996,109.293983960929,0.00251815858345006,1084,0.252327746741155
8,0.9,500,50,10000,1,8252,8252,188.122,114.64059287154,0.00261648915586799,2078,0.25181774115366,1.523,92.0374530683269,0.00122740031771107,3341,0.404871546291808
9,0.9,1000,50,10000,1,9060,9052,182.814,107.401911893035,0.00254161509635031,2648,0.292532037118869,2.47900000000001,83.2834504151892,0.0010665456156127,5100,0.563411400795404
10,0.9,100,10,20000,1,1000,1000,1404.986,475.443269186971,0.0108489268605397,361,0.361,0.211000000000013,473.465746683694,0.0105520495545889,367,0.367
11,0.9,500,10,20000,1,4914,4914,1371.391,315.853593848399,0.0034449499905308,1133,0.230565730565731,0.733999999999924,309.82256931883,0.00300268639587176,1239,0.252136752136752
12,0.9,1000,10,20000,1,8599,8599,1582.583,246.956830716219,0.00198991769882162,1717,0.199674380741947,1.46299999999997,235.500548588346,0.00142301390434929,1997,0.232236306547273
13,0.9,100,30,20000,1,2998,2998,1347.629,270.874121267415,0.00323506214234448,778,0.259506337558372,0.413000000000011,266.734444062423,0.00288772324537634,814,0.271514342895263
14,0.9,500,30,20000,1,11053,11092,1409.474,227.542593474569,0.00221540928350417,2108,0.190046880634692,1.72299999999996,210.104848537664,0.00155346206101747,2559,0.230706815723044
15,0.9,1000,30,20000,1,14485,14485,1398.2,200.05983583156,0.00158712133845818,2964,0.204625474628926,3.00900000000001,183.235258746809,0.000978700199288807,3965,0.273731446323783
16,0.9,100,50,20000,1,4884,4884,1374.317,235.638811065224,0.00276357497151125,970,0.198607698607699,0.612999999999829,228.515327860048,0.00240669859136633,1037,0.212325962325962
17,0.9,500,50,20000,1,13634,13634,1444.326,205.850477602815,0.00162384218868106,2465,0.180798004987531,2.88699999999994,184.380642177052,0.00102833072686304,3173,0.232727006014376
18,0.9,1000,50,20000,1,16586,16586,1419.708,198.579891873962,0.00192994142886083,3460,0.208609670806704,4.25400000000013,169.85989949331,0.00111398001892393,5166,0.311467502713132
19,0.9,100,10,30000,1,1000,1000,4951.297,602.216183810571,0.00401989933385438,360,0.36,0.318000000000211,600.443975259252,0.00397716488017519,364,0.364
20,0.9,500,10,30000,1,4991,4991,5073.277,473.80856487962,0.00380394498051928,1226,0.245642155880585,1.03399999999965,469.878966194761,0.00341309442012161,1306,0.261671007814065
21,0.9,1000,10,30000,1,9541,9541,8294.428,426.193842600561,0.00304632667946703,1747,0.183104496384027,2.23399999999856,412.590328987453,0.00251683685583914,1935,0.202808929881564
22,0.9,100,30,30000,1,3000,3000,4909.04,339.511641066726,0.00253897555234195,832,0.277333333333333,0.698999999999614,334.074343137966,0.00229387770301337,859,0.286333333333333
23,0.9,500,30,30000,1,13014,13011,4945.328,356.975818229679,0.00243068687222647,2143,0.164706786565214,1.86800000000039,342.754434702381,0.00196733132416504,2424,0.18630389670279
24,0.9,1000,30,30000,1,19044,19044,4860.023,315.625474563817,0.00173295613898095,3101,0.162833438353287,4.04600000000028,293.357334840263,0.0012639991951553,3833,0.201270741440874
25,0.9,100,50,30000,1,4990,4990,4921.937,291.929873636049,0.0019912480608637,1044,0.209218436873747,0.871000000000095,286.17193903131,0.00174396602308669,1090,0.218436873747495
